Entity,Code,Year,Deaths - Liver cancer - Sex: Both - Age: All Ages (Number),Deaths - Kidney cancer - Sex: Both - Age: All Ages (Number),Deaths - Lip and oral cavity cancer - Sex: Both - Age: All Ages (Number),"Deaths - Tracheal, bronchus, and lung cancer - Sex: Both - Age: All Ages (Number)",Deaths - Larynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Gallbladder and biliary tract cancer - Sex: Both - Age: All Ages (Number),Deaths - Malignant skin melanoma - Sex: Both - Age: All Ages (Number),Deaths - Leukemia - Sex: Both - Age: All Ages (Number),Deaths - Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Multiple myeloma - Sex: Both - Age: All Ages (Number),Deaths - Other neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Breast cancer - Sex: Both - Age: All Ages (Number),Deaths - Prostate cancer - Sex: Both - Age: All Ages (Number),Deaths - Thyroid cancer - Sex: Both - Age: All Ages (Number),Deaths - Stomach cancer - Sex: Both - Age: All Ages (Number),Deaths - Bladder cancer - Sex: Both - Age: All Ages (Number),Deaths - Uterine cancer - Sex: Both - Age: All Ages (Number),Deaths - Ovarian cancer - Sex: Both - Age: All Ages (Number),Deaths - Cervical cancer - Sex: Both - Age: All Ages (Number),Deaths - Brain and central nervous system cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,2004,1054,83,98,1041,321,219,65,1686,172,128,17,748,402,81,3021,289,77,110,475,740,1202,157,646,9,76,39,603,34,11
Afghanistan,AFG,2005,1064,85,99,1051,322,220,66,1710,175,128,17,767,406,82,3041,290,79,114,480,754,1228,161,646,10,76,39,618,35,11
Afghanistan,AFG,2006,1057,87,100,1064,324,222,67,1719,177,130,17,791,410,84,3059,291,81,118,485,761,1257,167,649,10,76,39,635,36,12
Afghanistan,AFG,2007,1066,89,101,1078,326,224,67,1729,179,131,17,816,416,85,3074,294,83,122,489,768,1290,174,652,10,76,40,655,37,12
Afghanistan,AFG,2008,1079,91,103,1097,330,227,68,1725,181,133,18,848,422,88,3098,297,86,127,496,767,1330,181,659,11,77,41,678,38,12
Afghanistan,AFG,2009,1092,94,105,1116,332,229,69,1731,183,135,18,878,429,90,3110,300,89,133,499,770,1376,190,664,11,77,41,703,39,13
Afghanistan,AFG,2010,1111,99,107,1136,335,231,70,1773,186,138,18,913,435,92,3124,304,91,139,506,789,1425,201,672,12,78,42,729,40,13
Afghanistan,AFG,2011,1130,103,109,1164,339,235,71,1801,189,141,19,951,442,94,3156,309,94,145,513,804,1481,214,684,12,79,43,759,41,14
Afghanistan,AFG,2012,1155,107,112,1199,346,240,72,1831,192,144,20,991,450,96,3200,314,98,153,522,823,1544,223,696,13,81,44,793,42,14
Afghanistan,AFG,2013,1181,112,115,1229,353,244,74,1894,195,147,20,1029,458,99,3237,320,101,161,531,858,1610,234,708,14,83,46,826,43,15
Afghanistan,AFG,2014,1210,117,118,1264,361,249,75,1928,198,150,21,1067,466,102,3281,327,105,169,539,879,1673,246,723,14,84,47,860,45,15
Afghanistan,AFG,2015,1238,122,122,1300,370,254,77,1953,200,154,21,1105,473,104,3324,333,109,177,547,897,1727,259,739,15,86,48,891,46,16
Afghanistan,AFG,2016,1271,127,126,1343,383,261,79,2001,205,159,22,1154,483,107,3401,341,113,187,561,927,1795,273,762,15,89,50,929,47,16
Afghanistan,AFG,2017,1305,133,131,1396,397,270,82,2045,209,164,22,1211,494,111,3496,351,118,198,578,956,1869,289,788,16,92,52,970,49,17
Afghanistan,AFG,2018,1341,138,135,1448,411,278,84,2068,212,170,23,1265,503,115,3574,359,123,209,593,977,1936,305,812,16,95,54,1010,51,17
Afghanistan,AFG,2019,1376,143,140,1492,423,285,87,2120,217,174,24,1311,505,118,3642,366,127,218,609,1014,1998,319,832,17,97,55,1046,52,18
